timestamp,position,price,equity
2021-02-19,1,390.03,1.1355704940515374
2021-02-22,1,387.03,1.1268360082885074
2021-02-23,1,387.5,1.1282044110580487
2021-02-24,1,391.77,1.1406364957940947
2021-02-25,0,382.33,1.1125954046027968
2021-02-26,0,380.36,1.1125954046027968
2021-03-01,0,389.58,1.1125954046027968
2021-03-02,0,386.54,1.1125954046027968
2021-03-03,0,381.42,1.1125954046027968
2021-03-04,0,376.7,1.1125954046027968
2021-03-05,0,383.63,1.1125954046027968
2021-03-08,0,381.72,1.1125954046027968
2021-03-09,0,387.17,1.1125954046027968
2021-03-10,0,389.58,1.1125954046027968
2021-03-11,1,393.53,1.1120391069004956
2021-03-12,1,394.06,1.113536783638374
2021-03-15,1,396.41,1.1201774257780235
2021-03-16,1,395.91,1.1187645231951195
2021-03-17,1,397.26,1.1225793601689604
2021-03-18,1,391.48,1.1062462063105891
2021-03-19,1,389.48,1.1005945959789727
2021-03-22,1,392.59,1.1093828500446359
2021-03-23,1,389.5,1.1006511120822886
2021-03-24,0,387.52,1.0945084898450614
2021-03-25,0,389.7,1.0945084898450614
2021-03-26,1,395.98,1.093961235600139
2021-03-29,1,395.78,1.0934087020198568
2021-03-30,1,394.73,1.0905079007233769
2021-03-31,1,396.33,1.0949281693656319
2021-04-01,1,400.61,1.1067523879836647
2021-04-05,1,406.36,1.1226377284167692
2021-04-06,1,406.12,1.1219746881204309
2021-04-07,1,406.59,1.1232731420340931
2021-04-08,1,408.52,1.1286050910838135
2021-04-09,1,411.49,1.1368102147509997
2021-04-12,1,411.64,1.137224614936211
2021-04-13,1,412.86,1.1405950697759308
2021-04-14,1,411.45,1.1366997080349432
2021-04-15,1,415.87,1.1489107001591732
2021-04-16,1,417.26,1.1527508085421323
2021-04-19,1,415.21,1.1470873393442427
2021-04-20,1,412.17,1.1386888289239578
2021-04-21,1,416.07,1.1494632337394548
2021-04-22,1,412.27,1.1389650957140987
2021-04-23,1,416.74,1.1513142212333993
2021-04-26,1,417.61,1.1537177423076257
2021-04-27,1,417.52,1.1534691021964987
2021-04-28,1,417.4,1.1531375820483296
2021-04-29,1,420.06,1.160486278666079
2021-04-30,1,417.3,1.1528613152581888
2021-05-03,1,418.2,1.1553477163694572
2021-05-04,1,415.62,1.1482200331838208
2021-05-05,1,415.75,1.1485791800110041
2021-05-06,1,419.07,1.1577512374436838
2021-05-07,1,422.12,1.1661773745429829
2021-05-10,1,417.94,1.154629422715091
2021-05-11,0,414.21,1.1437525091071121
2021-05-12,0,405.41,1.1437525091071121
2021-05-13,0,410.28,1.1437525091071121
2021-05-14,0,416.58,1.1437525091071121
2021-05-17,0,415.52,1.1437525091071121
2021-05-18,0,411.94,1.1437525091071121
2021-05-19,0,410.86,1.1437525091071121
2021-05-20,0,415.28,1.1437525091071121
2021-05-21,0,414.94,1.1437525091071121
2021-05-24,0,419.17,1.1437525091071121
2021-05-25,0,418.24,1.1437525091071121
2021-05-26,0,419.07,1.1437525091071121
2021-05-27,0,419.29,1.1437525091071121
2021-05-28,0,420.04,1.1437525091071121
2021-06-01,0,419.67,1.1437525091071121
2021-06-02,0,420.33,1.1437525091071121
2021-06-03,0,418.77,1.1437525091071121
2021-06-04,1,422.6,1.1431806328525587
2021-06-07,1,422.19,1.1420715366399
2021-06-08,1,422.28,1.142314996784142
2021-06-09,1,421.65,1.140610775774447
2021-06-10,1,423.61,1.1459127966934983
2021-06-11,1,424.31,1.1478063755931596
2021-06-14,1,425.26,1.1503762326712712
2021-06-15,1,424.48,1.148266244754506
2021-06-16,1,422.11,1.1418551276227962
2021-06-17,1,421.97,1.141476411842864
2021-06-18,0,414.92,1.1218441645269575
2021-06-21,0,420.86,1.1218441645269575
2021-06-22,0,423.11,1.1218441645269575
2021-06-23,0,422.6,1.1218441645269575
2021-06-24,1,425.1,1.1212832424446941
2021-06-25,1,426.61,1.1252661586904986
2021-06-28,1,427.47,1.1275345745655927
2021-06-29,1,427.7,1.1281412439275365
2021-06-30,1,428.06,1.1290908133636224
2021-07-01,1,430.43,1.135342145484521
2021-07-02,1,433.72,1.1440201550531945
2021-07-06,1,432.93,1.1419363776795617
2021-07-07,1,434.46,1.1459720477829265
2021-07-08,1,430.92,1.1366346149947493
2021-07-09,1,435.52,1.1487680022336237
2021-07-12,1,437.08,1.1528828031233291
2021-07-13,1,435.59,1.148952640735085
2021-07-14,1,436.24,1.1506671411057956
2021-07-15,1,434.75,1.1467369787175514
2021-07-16,1,431.34,1.1377424460035162
2021-07-19,0,424.97,1.1203798721993676
2021-07-20,0,431.06,1.1203798721993676
2021-07-21,0,434.55,1.1203798721993676
2021-07-22,0,435.46,1.1203798721993676
2021-07-23,1,439.94,1.119819682263268
2021-07-26,1,441.02,1.122568705441075
2021-07-27,1,439.01,1.1174524678601567
2021-07-28,1,438.83,1.1169942973305222
2021-07-29,1,440.65,1.121626910463493
2021-07-30,1,438.51,1.1161797719445055
2021-08-02,1,437.59,1.113838011459707
2021-08-03,1,441.15,1.1228996063791443
2021-08-04,1,438.98,1.1173761061052179
2021-08-05,1,441.76,1.124452295396239
2021-08-06,1,442.49,1.12631043143309
2021-08-09,1,442.13,1.125394090373821
2021-08-10,1,442.68,1.1267940558810374
2021-08-11,1,443.78,1.12959398689547
2021-08-12,1,445.11,1.1329793580311025
2021-08-13,1,445.92,1.1350411254144575
2021-08-16,1,446.97,1.1377137868373253
2021-08-17,1,444.04,1.1302557887716087
2021-08-18,1,439.18,1.117885184471478
2021-08-19,1,439.86,1.1196160509167639
2021-08-20,1,443.36,1.128524922326323
2021-08-23,1,447.26,1.1384519504684032
2021-08-24,1,447.97,1.140259178668628
2021-08-25,1,448.91,1.1426518469900524
2021-08-26,1,446.26,1.1359065586371004
2021-08-27,1,450.25,1.1460626720439977
2021-08-30,1,452.23,1.151102547869977
2021-08-31,1,451.56,1.1493971353430044
2021-09-01,1,451.8,1.1500080293825172
2021-09-02,1,453.19,1.1535461240280278
2021-09-03,1,453.08,1.1532661309265844
2021-09-07,1,451.46,1.1491425961598742
2021-09-08,1,450.91,1.147742630652658
2021-09-09,1,448.98,1.1428300244182439
2021-09-10,0,445.44,1.133252427666765
2021-09-13,0,446.58,1.133252427666765
2021-09-14,0,444.17,1.133252427666765
2021-09-15,0,447.88,1.133252427666765
2021-09-16,0,447.17,1.133252427666765
2021-09-17,0,441.4,1.133252427666765
2021-09-20,0,434.04,1.133252427666765
2021-09-21,0,433.63,1.133252427666765
2021-09-22,0,437.86,1.133252427666765
2021-09-23,0,443.18,1.133252427666765
2021-09-24,0,443.91,1.133252427666765
2021-09-27,0,442.64,1.133252427666765
2021-09-28,0,433.72,1.133252427666765
2021-09-29,0,434.45,1.133252427666765
2021-09-30,0,429.14,1.133252427666765
2021-10-01,0,434.24,1.133252427666765
2021-10-04,0,428.64,1.133252427666765
2021-10-05,0,433.1,1.133252427666765
2021-10-06,0,434.9,1.133252427666765
2021-10-07,0,438.66,1.133252427666765
2021-10-08,0,437.86,1.133252427666765
2021-10-11,0,434.69,1.133252427666765
2021-10-12,0,433.62,1.133252427666765
2021-10-13,0,435.18,1.133252427666765
2021-10-14,0,442.5,1.133252427666765
2021-10-15,1,445.87,1.1326858014529317
2021-10-18,1,447.19,1.1360391225059694
2021-10-19,1,450.64,1.144803484349136
2021-10-20,1,452.41,1.149299983033891
2021-10-21,1,453.59,1.1522976488237275
2021-10-22,1,453.12,1.1511036632972673
2021-10-25,1,455.55,1.157276822508541
2021-10-26,1,455.96,1.1583183843507723
2021-10-27,1,453.94,1.1531867869817298
2021-10-28,1,458.32,1.1643137159304455
2021-10-29,1,459.25,1.1666762830359947
2021-11-01,1,460.04,1.168683194878343
2021-11-02,1,461.9,1.1734083290894415
2021-11-03,1,464.72,1.180572242248204
2021-11-04,1,466.91,1.1861357067225617
2021-11-05,1,468.53,1.190251146196744
2021-11-08,1,468.93,1.191267304091604
2021-11-09,1,467.38,1.187329692249022
2021-11-10,1,463.62,1.1777778080373391
2021-11-11,1,463.77,1.1781588672479115
2021-11-12,1,467.27,1.1870502488279353
2021-11-15,1,467.43,1.1874567119858792
2021-11-16,1,469.28,1.1921564422496058
2021-11-17,1,468.14,1.1892603922492553
2021-11-18,1,469.73,1.1932996198813233
2021-11-19,1,468.89,1.1911656883021176
2021-11-22,1,467.57,1.18781236724908
2021-11-23,1,468.19,1.1893874119861128
2021-11-24,1,469.44,1.1925629054075497
2021-11-26,0,458.97,1.165381990023338
2021-11-29,0,464.6,1.165381990023338
2021-11-30,0,455.56,1.165381990023338
2021-12-01,0,450.5,1.165381990023338
2021-12-02,0,457.4,1.165381990023338
2021-12-03,0,453.42,1.165381990023338
2021-12-06,0,458.79,1.165381990023338
2021-12-07,0,468.28,1.165381990023338
2021-12-08,0,469.52,1.165381990023338
2021-12-09,0,466.35,1.165381990023338
2021-12-10,0,470.74,1.165381990023338
2021-12-13,0,466.57,1.165381990023338
2021-12-14,0,463.36,1.165381990023338
2021-12-15,0,470.6,1.165381990023338
2021-12-16,0,466.45,1.165381990023338
2021-12-17,0,459.87,1.165381990023338
2021-12-20,0,454.98,1.165381990023338
2021-12-21,0,463.06,1.165381990023338
2021-12-22,0,467.69,1.165381990023338
2021-12-23,1,470.6,1.1647992990283265
2021-12-27,1,477.26,1.1812837089975754
2021-12-28,1,476.87,1.1803184057110878
2021-12-29,1,477.48,1.1818282390566197
2021-12-30,1,476.16,1.178561058702354
2021-12-31,1,474.96,1.1755908947439306
2022-01-03,1,477.71,1.1823975204819839
2022-01-04,1,477.55,1.182001498620861
2022-01-05,1,468.38,1.159304495705243
2022-01-06,1,467.94,1.1582154355871543
2022-01-07,0,466.09,1.1530596146015095
2022-01-10,0,465.51,1.1530596146015095
2022-01-11,0,469.75,1.1530596146015095
2022-01-12,0,471.02,1.1530596146015095
2022-01-13,0,464.53,1.1530596146015095
2022-01-14,0,464.72,1.1530596146015095
2022-01-18,0,456.49,1.1530596146015095
2022-01-19,0,451.75,1.1530596146015095
2022-01-20,0,446.75,1.1530596146015095
2022-01-21,0,437.98,1.1530596146015095
2022-01-24,0,439.84,1.1530596146015095
2022-01-25,0,434.47,1.1530596146015095
2022-01-26,0,433.38,1.1530596146015095
2022-01-27,0,431.24,1.1530596146015095
2022-01-28,0,441.95,1.1530596146015095
2022-01-31,0,449.91,1.1530596146015095
2022-02-01,0,452.95,1.1530596146015095
2022-02-02,0,457.35,1.1530596146015095
2022-02-03,0,446.6,1.1530596146015095
2022-02-04,0,448.7,1.1530596146015095
2022-02-07,0,447.26,1.1530596146015095
2022-02-08,0,450.94,1.1530596146015095
2022-02-09,0,457.54,1.1530596146015095
2022-02-10,0,449.32,1.1530596146015095
2022-02-11,0,440.46,1.1530596146015095
2022-02-14,0,439.02,1.1530596146015095
2022-02-15,0,446.1,1.1530596146015095
2022-02-16,0,446.6,1.1530596146015095
2022-02-17,0,437.06,1.1530596146015095
2022-02-18,0,434.23,1.1530596146015095
2022-02-22,0,429.57,1.1530596146015095
2022-02-23,0,421.95,1.1530596146015095
2022-02-24,0,428.3,1.1530596146015095
2022-02-25,0,437.75,1.1530596146015095
2022-02-28,0,436.63,1.1530596146015095
2022-03-01,0,429.98,1.1530596146015095
2022-03-02,0,437.89,1.1530596146015095
2022-03-03,0,435.71,1.1530596146015095
2022-03-04,0,432.17,1.1530596146015095
2022-03-07,0,419.43,1.1530596146015095
2022-03-08,0,416.25,1.1530596146015095
2022-03-09,0,427.41,1.1530596146015095
2022-03-10,0,425.48,1.1530596146015095
2022-03-11,0,420.07,1.1530596146015095
2022-03-14,0,417.0,1.1530596146015095
2022-03-15,0,426.17,1.1530596146015095
2022-03-16,0,435.62,1.1530596146015095
2022-03-17,0,441.07,1.1530596146015095
2022-03-18,1,444.52,1.152483084794209
2022-03-21,1,444.39,1.1521460407893873
2022-03-22,1,449.59,1.165627800982247
2022-03-23,1,443.8,1.1506163795367361
2022-03-24,1,450.49,1.1679611825540879
2022-03-25,1,452.69,1.1736650041741439
2022-03-28,1,455.91,1.182013324908953
2022-03-29,1,461.55,1.1966358494258238
2022-03-30,1,458.7,1.1892468077816605
2022-03-31,1,451.64,1.1709427256736629
2022-04-01,1,452.92,1.174261312798059
2022-04-04,1,456.8,1.184320780018885
2022-04-05,1,451.03,1.169361211497193
2022-04-06,1,446.52,1.1576683771760783
2022-04-07,1,448.77,1.163501831105681
2022-04-08,1,447.57,1.1603906556765597
2022-04-11,0,439.92,1.1399866338597529
2022-04-12,0,438.29,1.1399866338597529
2022-04-13,0,443.31,1.1399866338597529
2022-04-14,0,437.79,1.1399866338597529
2022-04-18,0,437.97,1.1399866338597529
2022-04-19,0,445.04,1.1399866338597529
2022-04-20,0,444.71,1.1399866338597529
2022-04-21,0,438.06,1.1399866338597529
2022-04-22,0,426.04,1.1399866338597529
2022-04-25,0,428.51,1.1399866338597529
2022-04-26,0,416.1,1.1399866338597529
2022-04-27,0,417.27,1.1399866338597529
2022-04-28,0,427.81,1.1399866338597529
2022-04-29,0,412.0,1.1399866338597529
2022-05-02,0,414.48,1.1399866338597529
2022-05-03,0,416.38,1.1399866338597529
2022-05-04,0,429.06,1.1399866338597529
2022-05-05,0,413.81,1.1399866338597529
2022-05-06,0,411.34,1.1399866338597529
2022-05-09,0,398.17,1.1399866338597529
2022-05-10,0,399.09,1.1399866338597529
2022-05-11,0,392.75,1.1399866338597529
2022-05-12,0,392.34,1.1399866338597529
2022-05-13,0,401.72,1.1399866338597529
2022-05-16,0,400.09,1.1399866338597529
2022-05-17,0,408.32,1.1399866338597529
2022-05-18,0,391.86,1.1399866338597529
2022-05-19,0,389.46,1.1399866338597529
2022-05-20,0,389.63,1.1399866338597529
2022-05-23,0,396.92,1.1399866338597529
2022-05-24,0,393.89,1.1399866338597529
2022-05-25,0,397.37,1.1399866338597529
2022-05-26,0,405.31,1.1399866338597529
2022-05-27,0,415.26,1.1399866338597529
2022-05-31,0,412.93,1.1399866338597529
2022-06-01,0,409.59,1.1399866338597529
2022-06-02,0,417.39,1.1399866338597529
2022-06-03,0,410.54,1.1399866338597529
2022-06-06,0,411.79,1.1399866338597529
2022-06-07,0,415.74,1.1399866338597529
2022-06-08,0,411.22,1.1399866338597529
2022-06-09,0,401.44,1.1399866338597529
2022-06-10,0,389.8,1.1399866338597529
2022-06-13,0,375.0,1.1399866338597529
2022-06-14,0,373.87,1.1399866338597529
2022-06-15,0,379.2,1.1399866338597529
2022-06-16,0,366.65,1.1399866338597529
2022-06-17,0,365.86,1.1399866338597529
2022-06-21,0,375.07,1.1399866338597529
2022-06-22,0,374.39,1.1399866338597529
2022-06-23,0,378.06,1.1399866338597529
2022-06-24,0,390.08,1.1399866338597529
2022-06-27,0,388.59,1.1399866338597529
2022-06-28,0,380.65,1.1399866338597529
2022-06-29,0,380.34,1.1399866338597529
2022-06-30,0,377.25,1.1399866338597529
2022-07-01,0,381.24,1.1399866338597529
2022-07-05,0,381.96,1.1399866338597529
2022-07-06,0,383.25,1.1399866338597529
2022-07-07,0,388.99,1.1399866338597529
2022-07-08,0,388.67,1.1399866338597529
2022-07-11,0,384.23,1.1399866338597529
2022-07-12,0,380.83,1.1399866338597529
2022-07-13,0,378.83,1.1399866338597529
2022-07-14,0,377.91,1.1399866338597529
2022-07-15,0,385.13,1.1399866338597529
2022-07-18,0,381.95,1.1399866338597529
2022-07-19,1,392.27,1.139416640542823
2022-07-20,1,394.77,1.1466783266298473
2022-07-21,1,398.79,1.1583551178577827
2022-07-22,1,395.09,1.1476078224489865
2022-07-25,1,395.57,1.1490020661776952
2022-07-26,1,390.89,1.1354081898227855
2022-07-27,1,401.04,1.1648906353361046
2022-07-28,1,406.07,1.1795011477431976
2022-07-29,1,411.99,1.1966968203972714
2022-08-01,1,410.77,1.1931531175868035
